x(m), y(m), heading(rad)  
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.003482, -0.000405, 0.001051 
0.003550, -0.000412, 0.001071 
0.003689, -0.000429, 0.001113 
0.003829, -0.000445, 0.001155 
0.003970, -0.000461, 0.001198 
0.004109, -0.000477, 0.001240 
0.004249, -0.000494, 0.001282 
0.004389, -0.000510, 0.001324 
0.004530, -0.000526, 0.001367 
0.004669, -0.000543, 0.001409 
0.004808, -0.000559, 0.001451 
0.004948, -0.000575, 0.001493 
0.005087, -0.000591, 0.001535 
0.005229, -0.000608, 0.001578 
0.005369, -0.000624, 0.001620 
0.005511, -0.000640, 0.001663 
0.005647, -0.000656, 0.001704 
0.005787, -0.000672, 0.001746 
0.005927, -0.000689, 0.001788 
0.006067, -0.000705, 0.001830 
0.005416, -0.000849, 0.001958 
0.005435, -0.000852, 0.001966 
0.005540, -0.000873, 0.002010 
0.005643, -0.000894, 0.002055 
0.005746, -0.000915, 0.002099 
0.005850, -0.000936, 0.002143 
0.005955, -0.000957, 0.002187 
0.006060, -0.000978, 0.002232 
0.006164, -0.000999, 0.002277 
0.006265, -0.001019, 0.002320 
0.006369, -0.001040, 0.002364 
0.006473, -0.001061, 0.002409 
0.006579, -0.001082, 0.002454 
0.006681, -0.001103, 0.002497 
0.006786, -0.001124, 0.002542 
0.006889, -0.001144, 0.002586 
0.006991, -0.001165, 0.002629 
0.007095, -0.001186, 0.002674 
0.007199, -0.001206, 0.002718 
0.007303, -0.001227, 0.002762 
0.005898, -0.000369, 0.002283 
0.005924, -0.000359, 0.002297 
0.005964, -0.000344, 0.002319 
0.006005, -0.000328, 0.002342 
0.006045, -0.000312, 0.002364 
0.006086, -0.000297, 0.002386 
0.006126, -0.000281, 0.002408 
0.006167, -0.000266, 0.002431 
0.006207, -0.000250, 0.002453 
0.006256, -0.000232, 0.002479 
0.006288, -0.000219, 0.002497 
0.006328, -0.000204, 0.002519 
0.006368, -0.000188, 0.002541 
0.006409, -0.000173, 0.002563 
0.006450, -0.000157, 0.002586 
0.006490, -0.000142, 0.002607 
0.006530, -0.000126, 0.002629 
0.006571, -0.000111, 0.002652 
0.006611, -0.000095, 0.002674 
0.006651, -0.000080, 0.002696 
