x(m), y(m), heading(rad)  
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.004246, 0.003349, 0.001004 
0.004291, 0.003385, 0.001014 
0.004395, 0.003467, 0.001039 
0.004496, 0.003547, 0.001063 
0.004599, 0.003628, 0.001087 
0.004703, 0.003710, 0.001112 
0.004803, 0.003789, 0.001136 
0.004906, 0.003870, 0.001160 
0.005009, 0.003952, 0.001184 
0.005111, 0.004032, 0.001208 
0.005213, 0.004113, 0.001233 
0.005320, 0.004197, 0.001258 
0.005419, 0.004275, 0.001281 
0.005520, 0.004355, 0.001305 
0.005623, 0.004435, 0.001329 
0.005726, 0.004517, 0.001354 
0.005829, 0.004599, 0.001378 
0.005932, 0.004679, 0.001402 
0.006033, 0.004759, 0.001426 
0.006750, 0.007203, 0.000431 
0.006753, 0.007205, 0.000431 
0.006846, 0.007316, 0.000430 
0.006960, 0.007451, 0.000428 
0.007075, 0.007588, 0.000427 
0.007190, 0.007725, 0.000426 
0.007304, 0.007860, 0.000425 
0.007418, 0.007995, 0.000424 
0.007532, 0.008131, 0.000422 
0.007649, 0.008270, 0.000421 
0.007762, 0.008404, 0.000420 
0.007876, 0.008539, 0.000419 
0.007992, 0.008677, 0.000417 
0.008106, 0.008812, 0.000416 
0.008246, 0.008979, 0.000415 
0.008334, 0.009083, 0.000414 
0.008448, 0.009218, 0.000412 
0.008563, 0.009355, 0.000411 
0.008678, 0.009491, 0.000410 
0.008793, 0.009628, 0.000409 
0.011960, 0.006198, 0.000174 
0.011964, 0.006199, 0.000174 
0.012103, 0.006233, 0.000169 
0.012287, 0.006279, 0.000162 
0.012473, 0.006324, 0.000155 
0.012658, 0.006370, 0.000149 
0.012842, 0.006415, 0.000142 
0.013027, 0.006461, 0.000135 
0.013213, 0.006506, 0.000128 
0.013399, 0.006552, 0.000121 
0.013582, 0.006597, 0.000114 
0.013770, 0.006644, 0.000107 
0.013955, 0.006689, 0.000101 
0.014137, 0.006734, 0.000094 
0.014322, 0.006779, 0.000087 
0.014510, 0.006826, 0.000080 
0.014695, 0.006871, 0.000073 
0.014878, 0.006916, 0.000066 
0.015065, 0.006962, 0.000060 
0.015250, 0.007008, 0.000053 
0.010684, 0.007111, 0.000149 
0.010706, 0.007127, 0.000148 
