x(m), y(m), heading(rad)  
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
-0.003959, 0.005086, -0.000135 
-0.004068, 0.005226, -0.000138 
-0.004239, 0.005445, -0.000144 
-0.004408, 0.005662, -0.000150 
-0.004578, 0.005881, -0.000156 
-0.004749, 0.006100, -0.000162 
-0.004919, 0.006318, -0.000167 
-0.005088, 0.006536, -0.000173 
-0.005258, 0.006755, -0.000179 
-0.005429, 0.006974, -0.000185 
-0.005599, 0.007191, -0.000190 
-0.005768, 0.007409, -0.000196 
-0.005939, 0.007629, -0.000202 
-0.006109, 0.007847, -0.000208 
-0.006279, 0.008065, -0.000214 
-0.006449, 0.008284, -0.000219 
-0.006619, 0.008502, -0.000225 
-0.006789, 0.008720, -0.000231 
-0.006959, 0.008939, -0.000237 
-0.007129, 0.009157, -0.000243 
-0.007298, 0.009374, -0.000248 
-0.007469, 0.009594, -0.000254 
-0.008273, 0.010204, -0.407654 
-0.008276, 0.010208, -0.407919 
-0.008348, 0.010293, -0.413941 
-0.008532, 0.010514, -0.429438 
-0.008715, 0.010733, -0.444871 
-0.008900, 0.010954, -0.460374 
-0.009083, 0.011173, -0.475803 
-0.009266, 0.011393, -0.491246 
-0.009451, 0.011613, -0.506757 
-0.009635, 0.011834, -0.522304 
-0.009819, 0.012054, -0.537766 
-0.010003, 0.012274, -0.553221 
-0.010187, 0.012494, -0.568689 
-0.010370, 0.012713, -0.584107 
-0.010554, 0.012934, -0.599589 
-0.010737, 0.013153, -0.615032 
-0.011012, 0.013483, -0.638204 
-0.011120, 0.013611, -0.647221 
-0.011347, 0.013883, -0.666342 
-0.011473, 0.014034, -0.676967 
-0.012503, 0.013568, -0.310861 
-0.012528, 0.013591, -0.310854 
-0.012769, 0.013802, -0.310788 
-0.012880, 0.013900, -0.310757 
-0.013144, 0.014132, -0.310685 
-0.013306, 0.014276, -0.310640 
-0.013523, 0.014466, -0.310581 
-0.013955, 0.014846, -0.310463 
-0.014348, 0.015192, -0.310355 
-0.014789, 0.015581, -0.310234 
-0.014797, 0.015588, -0.310232 
-0.015170, 0.015916, -0.310130 
-0.015184, 0.015928, -0.310126 
-0.015377, 0.016099, -0.310073 
-0.016808, 0.017358, -0.309680 
