x(m), y(m), heading(rad)  
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.001826, -0.001303, -0.000225 
0.001854, -0.001323, -0.000229 
0.001898, -0.001355, -0.000234 
0.001943, -0.001387, -0.000240 
0.001988, -0.001418, -0.000245 
0.002032, -0.001450, -0.000251 
0.002077, -0.001482, -0.000256 
0.002122, -0.001514, -0.000262 
0.002167, -0.001546, -0.000267 
0.002213, -0.001579, -0.000273 
0.002255, -0.001609, -0.000278 
0.002300, -0.001641, -0.000284 
0.002344, -0.001673, -0.000289 
0.002389, -0.001705, -0.000295 
0.002434, -0.001736, -0.000300 
0.002478, -0.001768, -0.000306 
0.002523, -0.001800, -0.000311 
0.002568, -0.001832, -0.000317 
0.002613, -0.001864, -0.000322 
0.002657, -0.001896, -0.000328 
0.004689, -0.001610, -0.012701 
0.004725, -0.001619, -0.012822 
0.004818, -0.001643, -0.013127 
0.004911, -0.001667, -0.013436 
0.005002, -0.001691, -0.013738 
0.005094, -0.001714, -0.014043 
0.005186, -0.001738, -0.014348 
0.005280, -0.001762, -0.014659 
0.005371, -0.001785, -0.014961 
0.005464, -0.001809, -0.015268 
0.005557, -0.001833, -0.015576 
0.005647, -0.001856, -0.015875 
0.005739, -0.001880, -0.016178 
0.005831, -0.001904, -0.016483 
0.005924, -0.001928, -0.016792 
0.006017, -0.001951, -0.017099 
0.006107, -0.001975, -0.017397 
0.006199, -0.001998, -0.017703 
0.006292, -0.002022, -0.018010 
0.007193, -0.000364, -0.004274 
0.007196, -0.000364, -0.004273 
0.007305, -0.000346, -0.004227 
0.007414, -0.000328, -0.004180 
0.007524, -0.000310, -0.004134 
0.007633, -0.000292, -0.004088 
0.007744, -0.000273, -0.004041 
0.007854, -0.000255, -0.003995 
0.007963, -0.000237, -0.003949 
0.008072, -0.000219, -0.003903 
0.008183, -0.000201, -0.003856 
0.008292, -0.000183, -0.003810 
0.008401, -0.000165, -0.003764 
0.008511, -0.000147, -0.003718 
0.008621, -0.000129, -0.003671 
0.008730, -0.000111, -0.003625 
0.008841, -0.000093, -0.003578 
0.008949, -0.000075, -0.003533 
0.009060, -0.000057, -0.003486 
0.009169, -0.000039, -0.003440 
0.009278, -0.000020, -0.003394 
0.007004, 0.002620, -0.003867 
