x(m), y(m), heading(rad)  
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.002436, 0.002943, 0.000342 
0.002446, 0.002954, 0.000343 
0.002546, 0.003076, 0.000357 
0.002646, 0.003197, 0.000371 
0.002746, 0.003317, 0.000385 
0.002844, 0.003436, 0.000399 
0.002951, 0.003565, 0.000414 
0.003044, 0.003677, 0.000427 
0.003143, 0.003796, 0.000441 
0.003242, 0.003917, 0.000455 
0.003342, 0.004037, 0.000469 
0.003441, 0.004157, 0.000482 
0.003541, 0.004278, 0.000496 
0.003641, 0.004398, 0.000510 
0.003739, 0.004517, 0.000524 
0.003839, 0.004638, 0.000538 
0.003939, 0.004758, 0.000552 
0.004038, 0.004878, 0.000566 
0.004138, 0.004998, 0.000580 
0.004237, 0.005118, 0.000594 
0.004346, 0.005250, 0.000609 
0.004266, -0.000206, 0.000030 
0.004288, -0.000231, 0.000028 
0.004378, -0.000336, 0.000018 
0.004468, -0.000441, 0.000008 
0.004560, -0.000548, -0.000002 
0.004648, -0.000651, -0.000012 
0.004740, -0.000757, -0.000023 
0.004827, -0.000858, -0.000032 
0.004917, -0.000963, -0.000042 
0.005008, -0.001069, -0.000052 
0.005097, -0.001173, -0.000062 
0.005187, -0.001278, -0.000072 
0.005277, -0.001382, -0.000082 
0.005366, -0.001486, -0.000092 
0.005456, -0.001590, -0.000102 
0.005547, -0.001696, -0.000112 
0.005637, -0.001801, -0.000122 
0.005725, -0.001903, -0.000132 
0.005827, -0.002022, -0.000143 
0.005905, -0.002113, -0.000152 
0.005061, -0.002294, -0.000404 
0.005063, -0.002298, -0.000404 
0.005102, -0.002380, -0.000420 
0.005151, -0.002483, -0.000439 
0.005200, -0.002586, -0.000458 
0.005249, -0.002688, -0.000477 
0.005297, -0.002791, -0.000496 
0.005347, -0.002895, -0.000515 
0.005396, -0.002998, -0.000534 
0.005445, -0.003100, -0.000553 
0.005493, -0.003202, -0.000572 
0.005542, -0.003305, -0.000591 
0.005591, -0.003408, -0.000610 
0.005639, -0.003509, -0.000629 
0.005689, -0.003613, -0.000648 
0.005738, -0.003715, -0.000667 
0.005786, -0.003818, -0.000686 
0.005835, -0.003921, -0.000705 
