x(m), y(m), heading(rad)  
0.000000, 0.000000, 0.000000 
0.008528, 0.000088, 0.000229 
0.011453, 0.000011, -0.001199 
0.010188, -0.001562, 0.000761 
0.008561, -0.002397, 0.002287 
0.006994, -0.002795, 0.001754 
0.006370, -0.003340, 0.001325 
0.006430, -0.003380, 0.000926 
0.006048, -0.003948, 0.000768 
0.006453, -0.004355, 0.000503 
0.007475, -0.007502, 0.000320 
0.007381, -0.007728, -0.000031 
0.007231, -0.005938, -0.000261 
0.009160, -0.005974, -0.000371 
0.013905, -0.003558, -0.000232 
0.016706, -0.001896, -0.000243 
0.019199, -0.000048, 0.007252 
0.024200, -0.000672, -0.004054 
0.034941, 0.002559, 0.002115 
0.036651, 0.003958, 0.009761 
0.039026, 0.005360, 0.007523 
0.040265, 0.004840, 0.005663 
0.040660, 0.004108, 0.001778 
0.042357, 0.005012, 0.008392 
0.041737, 0.004652, 0.001479 
0.037800, 0.004962, 0.006919 
0.035928, 0.004815, 0.006637 
0.034780, 0.004550, 0.006323 
0.033505, 0.003916, 0.006167 
0.033279, 0.003986, 0.005939 
0.032949, 0.003823, 0.005638 
0.032875, 0.003388, 0.005435 
0.032798, 0.002867, 0.005250 
0.032738, 0.002883, 0.005155 
0.032294, 0.002900, 0.005012 
0.032518, 0.002891, 0.004898 
0.049092, 0.004149, 0.004877 
0.051744, 0.003943, 0.008155 
0.053223, 0.002379, -0.001175 
0.055527, 0.001493, 0.001601 
0.056841, 0.001260, 0.001968 
0.057344, 0.000573, 0.002742 
0.058640, 0.000154, 0.002569 
0.058769, -0.000896, 0.002705 
0.057061, -0.002478, -0.006164 
0.063168, -0.003147, 0.001186 
0.056570, -0.002075, -0.002881 
0.050938, -0.001076, -0.000753 
0.047525, -0.000283, -0.000552 
0.045273, 0.000277, -0.000295 
0.043590, -0.000199, 0.000007 
0.042969, 0.000213, 0.000186 
0.042077, 0.000130, 0.000394 
0.041222, 0.000670, 0.000602 
0.040810, 0.000947, 0.000806 
0.043832, 0.001021, 0.000904 
0.054793, -0.002620, -0.003525 
0.061629, -0.005496, -0.001671 
0.065107, -0.006922, -0.000452 
0.066336, -0.008038, 0.000629 
0.067877, -0.008817, 0.001517 
0.068744, -0.009785, 0.002226 
0.068541, -0.010422, 0.002896 
0.076046, -0.015836, -0.002245 
0.068711, -0.014363, -0.004737 
0.065076, -0.014453, -0.006020 
0.062591, -0.012888, -0.002336 
0.056719, -0.007386, 0.002983 
0.053026, -0.004818, 0.002754 
0.050436, -0.002957, 0.002550 
0.048269, -0.001320, 0.002421 
0.046772, -0.000839, 0.002308 
0.045829, -0.000497, 0.002147 
0.053903, -0.003613, 0.001826 
0.061522, -0.010767, -0.002978 
0.065455, -0.014955, -0.002050 
0.066963, -0.017465, -0.001410 
0.067628, -0.019291, -0.001044 
0.067215, -0.020042, -0.000498 
0.065781, -0.020098, -0.000182 
0.064768, -0.022319, -0.008982 
0.067130, -0.034853, -0.015902 
0.063236, -0.031639, -0.010492 
0.059923, -0.029460, -0.011847 
0.055955, -0.026049, -0.009292 
0.053583, -0.020225, -0.007109 
0.052065, -0.017194, -0.006505 
0.050881, -0.014041, -0.006305 
0.049542, -0.013320, -0.005734 
0.048767, -0.011351, -0.005386 
0.048322, -0.009400, -0.005103 
0.052497, -0.008489, -0.004773 
0.057260, -0.018436, -0.004526 
0.065728, -0.027133, -0.013577 
0.071682, -0.047732, -0.002816 
0.080775, -0.083159, -0.036675 
0.092868, -0.122197, 0.018787 
0.100160, -0.149833, 0.021683 
0.104843, -0.177051, 0.025166 
0.113210, -0.242406, -0.014832 
0.110373, -0.262064, -0.020440 
0.104622, -0.279028, -0.026122 
0.099623, -0.291597, -0.031762 
0.094898, -0.297678, -0.017917 
0.090355, -0.303234, -0.030936 
0.378012, -0.375399, 0.859570 
0.375420, -0.377443, 0.863637 
0.371480, -0.376770, 0.867485 
0.357543, -0.378810, 0.875326 
0.350555, -0.373140, 0.878779 
0.342149, -0.366943, 0.881684 
0.337107, -0.360535, 0.875584 
0.329446, -0.353307, 0.879475 
0.315453, -0.342503, 0.892997 
0.305791, -0.340107, 0.887093 
0.308166, -0.335180, 0.887489 
0.302686, -0.313299, 0.894570 
0.250444, -0.260793, 0.909608 
0.223291, -0.232099, 0.918469 
0.191307, -0.201205, 0.940105 
0.148729, -0.186653, 0.897266 
0.121686, -0.170127, 0.905703 
0.098071, -0.141121, 0.924426 
0.075503, -0.107086, 0.933184 
0.056169, -0.064633, 0.965537 
0.035460, -0.027155, 0.974558 
-0.007771, 0.078336, 0.992816 
-0.027376, 0.124562, 1.012198 
-0.044775, 0.174175, 1.031736 
-0.062686, 0.226632, 1.051057 
-0.079674, 0.279963, 1.070197 
-0.095250, 0.334180, 1.079255 
-0.108959, 0.399533, 1.111314 
-0.125742, 0.462456, 1.120402 
-0.139323, 0.523646, 1.139883 
-0.165933, 0.664094, 1.157600 
-0.179426, 0.725813, 1.210672 
-0.182818, 0.745791, 1.201307 
-0.184387, 0.765402, 1.216873 
-0.185454, 0.783228, 1.212118 
-0.186459, 0.801926, 1.197393 
-0.181067, 0.819637, 1.193201 
-0.176843, 0.836922, 1.208197 
-0.368842, 0.975764, 1.712238 
-0.380051, 1.035114, 1.831817 
-0.378182, 1.040854, 1.837483 
-0.377545, 1.045709, 1.835329 
-0.375779, 1.047315, 1.837989 
-0.374688, 1.042295, 1.833323 
-0.374220, 1.039713, 1.833351 
-0.374582, 1.037714, 1.833307 
-0.373939, 1.036662, 1.833430 
-0.373511, 1.036402, 1.833425 
-0.372982, 1.035331, 1.833471 
-0.373095, 1.034938, 1.833480 
-0.373544, 1.034402, 1.833379 
-0.373829, 1.034876, 1.833474 
-0.373140, 1.035696, 1.833526 
-0.373295, 1.035636, 1.833549 
-0.373261, 1.035569, 1.833615 
-0.373133, 1.035353, 1.833673 
-0.373669, 1.041636, 1.833682 
-0.373479, 1.053884, 1.826114 
-0.373047, 1.050080, 1.831893 
-0.373953, 1.046761, 1.833456 
-0.374375, 1.045060, 1.833224 
-0.375006, 1.043328, 1.833028 
-0.374207, 1.043467, 1.832863 
-0.374350, 1.043245, 1.832810 
-0.374006, 1.042275, 1.832685 
