x(m), y(m), heading(rad)  
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000171, 0.000295, 0.000066 
0.000175, 0.000301, 0.000068 
0.000182, 0.000313, 0.000070 
0.000189, 0.000325, 0.000073 
0.000195, 0.000336, 0.000075 
0.000202, 0.000348, 0.000078 
0.000209, 0.000359, 0.000081 
0.000216, 0.000371, 0.000083 
0.000222, 0.000383, 0.000086 
0.000229, 0.000394, 0.000088 
0.000236, 0.000406, 0.000091 
0.000243, 0.000418, 0.000094 
0.000249, 0.000429, 0.000096 
0.000256, 0.000441, 0.000099 
0.000263, 0.000452, 0.000101 
0.000270, 0.000464, 0.000104 
0.000276, 0.000476, 0.000107 
0.000283, 0.000487, 0.000109 
0.000290, 0.000499, 0.000112 
0.000461, 0.001056, 0.014160 
0.000473, 0.001087, 0.014686 
0.000487, 0.001122, 0.015278 
0.000501, 0.001156, 0.015868 
0.000514, 0.001190, 0.016459 
0.000528, 0.001225, 0.017050 
0.000542, 0.001259, 0.017642 
0.000555, 0.001294, 0.018231 
0.000569, 0.001328, 0.018822 
0.000583, 0.001363, 0.019417 
0.000596, 0.001397, 0.020003 
0.000610, 0.001431, 0.020595 
0.000623, 0.001466, 0.021185 
0.000637, 0.001500, 0.021775 
0.000651, 0.001534, 0.022366 
0.000664, 0.001569, 0.022957 
0.000678, 0.001603, 0.023547 
0.000691, 0.001638, 0.024137 
0.000705, 0.001672, 0.024728 
0.000719, 0.001707, 0.025321 
0.001961, 0.002240, -0.003254 
0.001964, 0.002243, -0.003286 
0.002028, 0.002297, -0.003908 
0.002092, 0.002351, -0.004534 
0.002154, 0.002404, -0.005151 
0.002217, 0.002457, -0.005770 
0.002281, 0.002511, -0.006392 
0.002344, 0.002564, -0.007010 
0.002407, 0.002618, -0.007629 
0.002470, 0.002671, -0.008250 
0.002533, 0.002725, -0.008871 
0.002596, 0.002778, -0.009491 
0.002660, 0.002831, -0.010110 
0.002723, 0.002885, -0.010729 
0.002786, 0.002938, -0.011351 
0.002849, 0.002992, -0.011970 
0.002912, 0.003045, -0.012590 
0.002975, 0.003099, -0.013210 
0.003039, 0.003152, -0.013831 
0.003102, 0.003206, -0.014452 
0.003165, 0.003259, -0.015070 
