x(m), y(m), heading(rad)  
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
-0.000263, 0.001592, 0.000240 
-0.000268, 0.001622, 0.000244 
-0.000278, 0.001687, 0.000254 
-0.000289, 0.001753, 0.000264 
-0.000300, 0.001818, 0.000274 
-0.000311, 0.001883, 0.000284 
-0.000322, 0.001949, 0.000294 
-0.000333, 0.002014, 0.000303 
-0.000343, 0.002080, 0.000313 
-0.000354, 0.002146, 0.000323 
-0.000365, 0.002210, 0.000333 
-0.000376, 0.002275, 0.000343 
-0.000386, 0.002341, 0.000353 
-0.000397, 0.002406, 0.000362 
-0.000408, 0.002471, 0.000372 
-0.000419, 0.002536, 0.000382 
-0.000430, 0.002602, 0.000392 
-0.000440, 0.002667, 0.000402 
-0.000451, 0.002732, 0.000411 
-0.000462, 0.002797, 0.000421 
0.001788, 0.002910, 0.000797 
0.001835, 0.002947, 0.000811 
0.001918, 0.003013, 0.000836 
0.002002, 0.003079, 0.000861 
0.002085, 0.003146, 0.000886 
0.002168, 0.003212, 0.000910 
0.002252, 0.003278, 0.000935 
0.002335, 0.003344, 0.000960 
0.002419, 0.003411, 0.000985 
0.002502, 0.003477, 0.001010 
0.002585, 0.003542, 0.001035 
0.002669, 0.003609, 0.001060 
0.002751, 0.003674, 0.001084 
0.002836, 0.003742, 0.001110 
0.002921, 0.003809, 0.001135 
0.003001, 0.003873, 0.001159 
0.003085, 0.003940, 0.001184 
0.003167, 0.004005, 0.001208 
0.003250, 0.004071, 0.001233 
0.003334, 0.004137, 0.001258 
0.002837, 0.004715, 0.001198 
0.002855, 0.004742, 0.001204 
0.002912, 0.004828, 0.001225 
0.002968, 0.004913, 0.001245 
0.003026, 0.004999, 0.001266 
0.003082, 0.005083, 0.001286 
0.003140, 0.005170, 0.001307 
0.003197, 0.005257, 0.001328 
0.003254, 0.005342, 0.001349 
0.003310, 0.005426, 0.001369 
0.003366, 0.005510, 0.001389 
0.003423, 0.005596, 0.001410 
0.003480, 0.005682, 0.001431 
0.003538, 0.005768, 0.001452 
0.003594, 0.005853, 0.001472 
0.003651, 0.005938, 0.001493 
0.003708, 0.006024, 0.001513 
0.003764, 0.006109, 0.001534 
0.003822, 0.006195, 0.001555 
