x(m), y(m), heading(rad)  
0.000000, 0.000000, 0.000000 
0.019487, -0.004229, 0.000374 
0.042503, -0.008174, 0.005406 
0.065991, -0.015080, 0.007597 
0.087419, -0.016222, 0.003845 
0.104645, -0.021441, 0.014242 
0.111210, -0.022453, 0.013588 
0.119133, -0.023800, 0.016257 
0.120979, -0.022608, 0.011261 
0.116853, -0.020578, 0.010580 
0.114446, -0.018341, 0.010879 
0.112836, -0.018652, 0.010974 
0.109374, -0.017290, 0.011420 
0.112184, -0.017200, 0.011867 
0.132463, -0.026216, 0.011120 
0.149454, -0.035370, 0.018124 
0.168327, -0.044317, 0.022010 
0.186457, -0.050728, 0.025561 
0.223434, -0.073696, 0.031800 
0.235028, -0.082153, 0.032349 
0.246569, -0.089221, 0.036170 
0.252878, -0.095339, 0.037037 
0.253461, -0.094173, 0.036769 
0.252155, -0.094747, 0.040107 
0.250943, -0.095487, 0.035799 
0.248856, -0.091550, 0.039463 
0.248459, -0.091315, 0.038574 
0.248288, -0.089744, 0.037944 
0.246741, -0.089587, 0.037030 
0.244956, -0.088976, 0.036596 
0.244469, -0.087879, 0.036535 
0.244694, -0.088927, 0.036518 
0.243454, -0.087110, 0.036391 
0.242031, -0.086611, 0.036155 
0.241940, -0.086546, 0.036409 
0.241528, -0.086796, 0.036230 
0.240155, -0.085170, 0.036094 
0.240554, -0.086671, 0.035609 
0.239944, -0.086557, 0.035667 
0.238762, -0.087102, 0.035945 
0.239537, -0.087131, 0.035949 
0.240329, -0.086476, 0.035970 
0.243426, -0.090954, 0.037111 
0.244923, -0.093571, 0.036440 
0.244859, -0.094311, 0.037105 
0.244841, -0.091694, 0.035340 
0.244361, -0.089216, 0.035046 
0.244058, -0.087936, 0.035004 
0.243454, -0.086731, 0.035083 
0.242963, -0.086253, 0.034760 
0.243541, -0.086491, 0.034704 
0.244067, -0.085614, 0.034392 
0.244432, -0.084765, 0.034368 
0.243338, -0.084853, 0.034554 
0.242241, -0.083658, 0.034502 
0.241578, -0.085249, 0.034250 
0.241233, -0.084236, 0.034217 
0.240471, -0.085208, 0.034212 
0.245514, -0.087131, 0.034543 
0.247480, -0.091748, 0.036649 
0.249945, -0.093473, 0.035614 
0.248394, -0.091806, 0.035581 
0.246176, -0.090028, 0.035918 
0.243836, -0.089569, 0.035581 
0.243709, -0.088357, 0.035371 
0.242276, -0.087995, 0.035224 
0.242153, -0.087795, 0.035173 
0.242187, -0.087886, 0.034838 
0.241213, -0.084837, 0.034587 
0.240800, -0.085313, 0.034685 
0.240702, -0.084864, 0.034319 
0.241186, -0.085076, 0.034492 
0.241917, -0.084571, 0.034426 
0.242980, -0.084628, 0.033849 
0.243342, -0.084671, 0.033823 
0.247359, -0.087318, 0.033791 
0.250973, -0.092652, 0.037173 
0.251610, -0.094209, 0.036269 
0.249754, -0.094017, 0.036305 
0.248724, -0.089478, 0.033798 
0.246068, -0.088137, 0.033885 
0.245047, -0.084757, 0.033863 
0.244336, -0.084211, 0.033920 
0.242516, -0.083720, 0.033953 
0.242893, -0.083199, 0.033871 
0.243026, -0.083606, 0.033641 
0.242780, -0.084099, 0.033640 
0.242567, -0.084235, 0.033631 
0.241957, -0.083795, 0.033364 
0.240698, -0.083525, 0.033722 
0.240590, -0.083168, 0.033511 
0.240038, -0.083240, 0.033539 
0.243628, -0.084358, 0.033797 
0.246355, -0.090148, 0.036408 
0.248464, -0.090879, 0.034455 
0.245468, -0.091455, 0.034941 
0.244356, -0.088783, 0.033196 
0.242720, -0.087968, 0.037954 
0.243507, -0.087775, 0.036920 
0.244205, -0.087747, 0.036381 
0.244201, -0.088089, 0.036100 
0.244232, -0.087250, 0.035811 
0.244505, -0.087508, 0.035464 
0.244722, -0.087288, 0.035406 
0.244210, -0.087200, 0.035505 
0.244435, -0.087548, 0.035487 
0.244402, -0.086517, 0.035111 
0.244551, -0.087035, 0.035308 
0.246109, -0.087654, 0.035428 
0.249226, -0.092854, 0.037789 
0.251413, -0.093052, 0.035670 
0.250473, -0.093478, 0.036853 
0.249326, -0.090474, 0.037173 
0.247183, -0.090359, 0.036236 
0.245014, -0.089979, 0.035976 
0.244555, -0.089043, 0.035882 
0.243811, -0.088632, 0.035629 
