x(m), y(m), heading(rad)  
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
-0.000847, 0.004038, 0.037741 
-0.000865, 0.004126, 0.038562 
-0.000899, 0.004285, 0.040052 
-0.000933, 0.004447, 0.041565 
-0.000966, 0.004605, 0.043038 
-0.000999, 0.004764, 0.044525 
-0.001033, 0.004925, 0.046026 
-0.001066, 0.005083, 0.047505 
-0.001100, 0.005243, 0.049001 
-0.001133, 0.005403, 0.050493 
-0.001166, 0.005562, 0.051985 
-0.001200, 0.005722, 0.053479 
-0.001233, 0.005880, 0.054957 
-0.001267, 0.006040, 0.056450 
-0.001301, 0.006203, 0.057972 
-0.001334, 0.006362, 0.059458 
-0.001367, 0.006520, 0.060931 
-0.001401, 0.006678, 0.062415 
-0.001434, 0.006838, 0.063904 
-0.001467, 0.006997, 0.065394 
-0.000768, 0.009484, 0.029826 
-0.000771, 0.009737, 0.029816 
-0.000775, 0.009991, 0.029805 
-0.000779, 0.010248, 0.029794 
-0.000783, 0.010501, 0.029783 
-0.000786, 0.010754, 0.029773 
-0.000790, 0.011007, 0.029762 
-0.000794, 0.011261, 0.029751 
-0.000798, 0.011517, 0.029740 
-0.000801, 0.011771, 0.029729 
-0.000805, 0.012023, 0.029719 
-0.000809, 0.012279, 0.029708 
-0.000813, 0.012530, 0.029697 
-0.000816, 0.012785, 0.029687 
-0.000820, 0.013040, 0.029676 
-0.000824, 0.013297, 0.029665 
-0.000828, 0.013565, 0.029653 
-0.000831, 0.013798, 0.029644 
-0.000835, 0.014052, 0.029633 
-0.000839, 0.014306, 0.029622 
0.000337, 0.012157, 0.029654 
0.000374, 0.012285, 0.029646 
0.000418, 0.012440, 0.029637 
0.000462, 0.012595, 0.029628 
0.000506, 0.012749, 0.029619 
0.000550, 0.012902, 0.029610 
0.000595, 0.013060, 0.029601 
0.000639, 0.013215, 0.029592 
0.000683, 0.013368, 0.029583 
0.000729, 0.013528, 0.029574 
0.000771, 0.013676, 0.029565 
0.000815, 0.013832, 0.029556 
0.000860, 0.013988, 0.029547 
0.000904, 0.014143, 0.029538 
0.000948, 0.014298, 0.029529 
0.000992, 0.014452, 0.029520 
0.001037, 0.014606, 0.029511 
