x(m), y(m), heading(rad)  
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
-0.003079, 0.002137, 0.000798 
-0.003092, 0.002146, 0.000801 
-0.003154, 0.002189, 0.000817 
-0.003228, 0.002241, 0.000836 
-0.006743, 0.001131, 0.001351 
-0.006753, 0.001131, 0.001353 
-0.006870, 0.001133, 0.001374 
-0.006994, 0.001136, 0.001397 
-0.008835, -0.000188, 0.001730 
-0.008863, -0.000196, 0.001735 
-0.008954, -0.000219, 0.001751 
-0.009069, -0.000249, 0.001772 
-0.006899, -0.003335, 0.000682 
-0.006900, -0.003341, 0.000681 
-0.006913, -0.003428, 0.000667 
-0.006929, -0.003525, 0.000652 
-0.002000, -0.000722, 0.000505 
-0.001998, -0.000722, 0.000504 
-0.001885, -0.000706, 0.000493 
-0.001773, -0.000691, 0.000481 
-0.000011, 0.001969, 0.000551 
-0.000008, 0.001971, 0.000551 
0.000100, 0.002047, 0.000546 
0.000207, 0.002122, 0.000541 
0.000317, 0.002198, 0.000536 
0.000572, 0.002390, -0.000045 
0.000577, 0.002394, -0.000046 
0.000642, 0.002439, -0.000062 
0.000709, 0.002487, -0.000079 
0.000792, 0.002545, -0.000100 
0.000583, 0.001557, -0.000608 
0.000585, 0.001557, -0.000609 
0.000618, 0.001561, -0.000631 
0.000652, 0.001564, -0.000653 
-0.000342, 0.000578, -0.000738 
-0.000342, 0.000577, -0.000739 
-0.000348, 0.000555, -0.000753 
-0.000353, 0.000532, -0.000767 
-0.000359, 0.000509, -0.000782 
-0.002373, -0.000255, -0.000902 
-0.002375, -0.000256, -0.000902 
-0.002427, -0.000287, -0.000913 
-0.002479, -0.000318, -0.000925 
-0.003498, -0.001366, -0.000462 
-0.003501, -0.001368, -0.000462 
-0.003555, -0.001411, -0.000457 
-0.003609, -0.001454, -0.000452 
-0.002763, 0.000651, 0.000565 
-0.002763, 0.000652, 0.000566 
-0.002773, 0.000680, 0.000594 
-0.002783, 0.000707, 0.000622 
-0.002942, 0.001162, 0.001082 
-0.002943, 0.001165, 0.001085 
-0.002952, 0.001191, 0.001111 
-0.002962, 0.001218, 0.001139 
-0.002971, 0.001246, 0.001167 
-0.002981, 0.001274, 0.001195 
-0.002991, 0.001302, 0.001224 
-0.003135, 0.001714, 0.001640 
-0.003135, 0.001714, 0.001641 
-0.003145, 0.001742, 0.001669 
-0.003154, 0.001770, 0.001697 
-0.003164, 0.001798, 0.001725 
-0.003174, 0.001826, 0.001754 
-0.003184, 0.001853, 0.001782 
-0.003193, 0.001882, 0.001810 
-0.003333, 0.002281, 0.002213 
-0.003333, 0.002281, 0.002214 
-0.003343, 0.002309, 0.002243 
-0.003353, 0.002337, 0.002271 
-0.003362, 0.002365, 0.002299 
