x(m), y(m), heading(rad)  
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.008008, 0.002360, 0.000911 
0.009966, 0.004573, 0.000796 
0.009970, 0.004575, 0.000797 
0.010009, 0.004595, 0.000799 
0.010174, 0.004680, 0.000811 
0.010339, 0.004765, 0.000822 
0.010502, 0.004849, 0.000833 
0.010667, 0.004933, 0.000845 
0.010831, 0.005018, 0.000856 
0.010994, 0.005102, 0.000867 
0.011159, 0.005186, 0.000878 
0.011323, 0.005270, 0.000889 
0.011487, 0.005355, 0.000901 
0.011651, 0.005439, 0.000912 
0.011816, 0.005524, 0.000923 
0.011980, 0.005608, 0.000935 
0.012146, 0.005694, 0.000946 
0.012308, 0.005777, 0.000957 
0.012473, 0.005861, 0.000968 
0.008585, 0.006468, 0.000814 
0.008652, 0.006565, 0.000822 
0.008719, 0.006662, 0.000829 
0.008786, 0.006758, 0.000836 
0.008853, 0.006855, 0.000844 
0.008920, 0.006951, 0.000851 
0.008988, 0.007050, 0.000858 
0.009056, 0.007147, 0.000866 
0.009123, 0.007244, 0.000873 
0.009190, 0.007340, 0.000880 
0.009258, 0.007438, 0.000887 
0.009325, 0.007534, 0.000895 
0.009392, 0.007631, 0.000902 
0.009460, 0.007729, 0.000909 
0.009526, 0.007824, 0.000917 
0.009594, 0.007922, 0.000924 
0.009661, 0.008018, 0.000931 
0.009728, 0.008115, 0.000938 
0.009795, 0.008212, 0.000946 
0.010391, 0.006526, 0.002442 
0.010409, 0.006538, 0.002452 
0.010489, 0.006591, 0.002496 
0.010567, 0.006643, 0.002539 
0.010645, 0.006695, 0.002581 
0.010724, 0.006747, 0.002624 
0.010803, 0.006800, 0.002667 
0.010882, 0.006853, 0.002710 
0.010961, 0.006905, 0.002753 
0.011039, 0.006957, 0.002796 
0.011118, 0.007009, 0.002839 
0.011196, 0.007061, 0.002882 
0.011275, 0.007114, 0.002925 
0.011354, 0.007166, 0.002968 
0.011433, 0.007219, 0.003011 
0.011511, 0.007271, 0.003053 
0.011590, 0.007323, 0.003096 
0.011669, 0.007375, 0.003139 
0.011748, 0.007428, 0.003182 
0.011826, 0.007480, 0.003225 
0.008486, 0.003552, -0.006294 
0.008484, 0.003535, -0.006368 
0.008477, 0.003488, -0.006561 
0.008471, 0.003442, -0.006752 
0.008465, 0.003396, -0.006944 
0.008458, 0.003350, -0.007137 
0.008452, 0.003303, -0.007332 
0.008446, 0.003258, -0.007522 
0.008439, 0.003212, -0.007714 
0.008433, 0.003165, -0.007907 
0.008426, 0.003119, -0.008101 
0.008420, 0.003073, -0.008293 
0.008414, 0.003027, -0.008485 
0.008407, 0.002981, -0.008676 
