x(m), y(m), heading(rad)  
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
-0.002104, -0.001534, 0.000223 
-0.002192, -0.001598, 0.000232 
-0.002280, -0.001663, 0.000242 
-0.002368, -0.001727, 0.000251 
-0.002457, -0.001791, 0.000260 
-0.002544, -0.001855, 0.000270 
-0.002633, -0.001920, 0.000279 
-0.002721, -0.001984, 0.000288 
-0.002809, -0.002049, 0.000298 
-0.002898, -0.002113, 0.000307 
-0.002985, -0.002177, 0.000316 
-0.003074, -0.002241, 0.000326 
-0.003162, -0.002306, 0.000335 
-0.003250, -0.002370, 0.000344 
-0.003338, -0.002434, 0.000354 
-0.003426, -0.002499, 0.000363 
-0.003517, -0.002565, 0.000373 
-0.003603, -0.002628, 0.000382 
-0.003691, -0.002691, 0.000391 
-0.003779, -0.002756, 0.000400 
-0.003868, -0.002820, 0.000410 
-0.007872, -0.003926, 0.000594 
-0.008078, -0.004015, 0.000608 
-0.008323, -0.004121, 0.000624 
-0.008569, -0.004227, 0.000640 
-0.008814, -0.004333, 0.000657 
-0.009060, -0.004439, 0.000673 
-0.009304, -0.004544, 0.000689 
-0.009551, -0.004650, 0.000706 
-0.009795, -0.004756, 0.000722 
-0.010040, -0.004862, 0.000738 
-0.010286, -0.004968, 0.000755 
-0.010532, -0.005074, 0.000771 
-0.010777, -0.005179, 0.000787 
-0.011021, -0.005285, 0.000804 
-0.011267, -0.005391, 0.000820 
-0.011515, -0.005498, 0.000837 
-0.011758, -0.005603, 0.000853 
-0.012003, -0.005709, 0.000869 
-0.012248, -0.005814, 0.000885 
-0.012494, -0.005920, 0.000902 
-0.015114, -0.004272, 0.000978 
-0.015175, -0.004278, 0.000982 
-0.015507, -0.004311, 0.001000 
-0.015837, -0.004345, 0.001018 
-0.016169, -0.004378, 0.001036 
-0.016500, -0.004411, 0.001054 
-0.016831, -0.004444, 0.001073 
-0.017167, -0.004478, 0.001091 
-0.017495, -0.004511, 0.001109 
-0.017825, -0.004544, 0.001127 
-0.018157, -0.004577, 0.001145 
-0.018489, -0.004610, 0.001164 
-0.018822, -0.004644, 0.001182 
-0.019152, -0.004677, 0.001200 
-0.019482, -0.004710, 0.001218 
