x(m), y(m), heading(rad)  
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
-0.000517, -0.000833, -0.000055 
-0.000528, -0.000851, -0.000057 
-0.000549, -0.000886, -0.000059 
-0.000571, -0.000920, -0.000061 
-0.000592, -0.000955, -0.000064 
-0.000614, -0.000989, -0.000066 
-0.000635, -0.001024, -0.000068 
-0.000657, -0.001058, -0.000070 
-0.000678, -0.001093, -0.000073 
-0.000699, -0.001127, -0.000075 
-0.000721, -0.001162, -0.000077 
-0.000742, -0.001196, -0.000080 
-0.000764, -0.001231, -0.000082 
-0.000785, -0.001266, -0.000084 
-0.000807, -0.001301, -0.000087 
-0.000828, -0.001335, -0.000089 
-0.000849, -0.001369, -0.000091 
-0.000871, -0.001404, -0.000093 
-0.000892, -0.001438, -0.000096 
-0.000914, -0.001473, -0.000098 
-0.002894, -0.000516, -0.000071 
-0.002984, -0.000509, -0.000072 
-0.003088, -0.000502, -0.000073 
-0.003193, -0.000494, -0.000074 
-0.003296, -0.000486, -0.000075 
-0.003401, -0.000479, -0.000076 
-0.003505, -0.000471, -0.000077 
-0.003609, -0.000463, -0.000078 
-0.003713, -0.000456, -0.000079 
-0.003818, -0.000448, -0.000080 
-0.003922, -0.000440, -0.000081 
-0.004026, -0.000433, -0.000082 
-0.004130, -0.000425, -0.000083 
-0.004235, -0.000417, -0.000084 
-0.004339, -0.000410, -0.000085 
-0.004443, -0.000402, -0.000086 
-0.004548, -0.000394, -0.000088 
-0.004652, -0.000387, -0.000089 
-0.004756, -0.000379, -0.000090 
-0.004860, -0.000372, -0.000091 
-0.003726, 0.000079, 0.000113 
-0.003754, 0.000093, 0.000117 
-0.003804, 0.000119, 0.000125 
-0.003854, 0.000145, 0.000133 
-0.003904, 0.000172, 0.000140 
-0.003954, 0.000198, 0.000148 
-0.004004, 0.000224, 0.000155 
-0.004055, 0.000250, 0.000163 
-0.004105, 0.000276, 0.000171 
-0.004155, 0.000302, 0.000178 
-0.004205, 0.000329, 0.000186 
-0.004255, 0.000355, 0.000193 
-0.004305, 0.000381, 0.000201 
-0.004355, 0.000407, 0.000209 
-0.004405, 0.000433, 0.000216 
-0.004456, 0.000459, 0.000224 
-0.004506, 0.000485, 0.000231 
