x(m), y(m), heading(rad)  
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.001897, 0.000051, 0.001268 
0.001898, 0.000051, 0.001269 
0.001936, 0.000052, 0.001295 
0.001980, 0.000053, 0.001324 
0.002025, 0.000054, 0.001354 
0.002070, 0.000056, 0.001384 
0.002114, 0.000057, 0.001414 
0.002161, 0.000058, 0.001445 
0.002203, 0.000059, 0.001473 
0.002248, 0.000060, 0.001503 
0.002292, 0.000062, 0.001533 
0.002337, 0.000063, 0.001563 
0.002381, 0.000064, 0.001593 
0.002426, 0.000065, 0.001622 
0.002471, 0.000066, 0.001653 
0.002515, 0.000068, 0.001682 
0.002560, 0.000069, 0.001712 
0.002605, 0.000070, 0.001742 
0.002649, 0.000071, 0.001772 
0.002694, 0.000072, 0.001801 
-0.001114, 0.003792, 0.001524 
-0.001116, 0.003795, 0.001525 
-0.001155, 0.003869, 0.001544 
-0.001202, 0.003957, 0.001565 
-0.001249, 0.004046, 0.001587 
-0.001296, 0.004134, 0.001609 
-0.001343, 0.004222, 0.001631 
-0.001390, 0.004311, 0.001653 
-0.001437, 0.004399, 0.001675 
-0.001483, 0.004486, 0.001696 
-0.001531, 0.004577, 0.001719 
-0.001578, 0.004666, 0.001741 
-0.001625, 0.004753, 0.001762 
-0.001671, 0.004840, 0.001784 
-0.001718, 0.004928, 0.001806 
-0.001764, 0.005016, 0.001827 
-0.001812, 0.005105, 0.001849 
-0.001859, 0.005194, 0.001871 
-0.001906, 0.005282, 0.001893 
-0.001953, 0.005372, 0.001915 
0.000727, 0.003714, 0.002004 
0.000729, 0.003720, 0.002007 
0.000749, 0.003765, 0.002030 
0.000768, 0.003809, 0.002053 
0.000788, 0.003855, 0.002076 
0.000808, 0.003899, 0.002099 
0.000827, 0.003944, 0.002122 
0.000846, 0.003988, 0.002145 
0.000866, 0.004032, 0.002168 
0.000885, 0.004077, 0.002191 
0.000905, 0.004122, 0.002214 
0.000924, 0.004167, 0.002237 
0.000944, 0.004211, 0.002260 
0.000963, 0.004256, 0.002283 
0.000983, 0.004300, 0.002306 
0.001002, 0.004345, 0.002329 
0.001022, 0.004390, 0.002352 
0.001042, 0.004435, 0.002375 
