x(m), y(m), heading(rad)  
0.000000, 0.000000, 0.000000 
-0.000098, 0.001215, 0.000089 
-0.000532, 0.001551, 0.000168 
-0.000605, 0.002808, 0.000187 
-0.002065, 0.003214, 0.000047 
-0.002414, 0.003746, -0.000393 
-0.002594, 0.004436, -0.000292 
-0.002583, 0.004178, -0.000247 
-0.002547, 0.004873, -0.000164 
-0.003904, 0.004673, -0.000530 
-0.003762, 0.005127, -0.000545 
-0.002201, 0.004176, -0.000474 
0.002324, 0.005172, -0.000392 
0.005919, 0.007411, -0.001333 
0.010699, 0.007975, -0.008759 
0.009774, 0.008533, -0.005341 
0.008292, 0.008218, -0.005727 
0.007027, 0.007507, -0.005708 
0.005357, 0.007498, -0.005831 
0.005035, 0.009205, -0.005712 
0.004837, 0.009496, -0.005615 
0.003932, 0.008750, -0.005559 
0.004385, 0.009363, -0.005559 
0.004155, 0.009226, -0.005617 
0.003732, 0.008842, -0.005567 
0.002862, 0.010016, -0.005368 
0.002073, 0.008997, -0.005145 
0.001801, 0.009083, -0.005342 
0.003876, 0.008058, -0.005313 
0.009176, 0.010336, -0.005586 
0.012498, 0.010814, -0.007587 
0.012396, 0.010987, -0.008522 
0.009829, 0.010405, -0.009242 
0.006671, 0.008138, -0.003108 
0.002281, 0.003064, -0.003585 
0.000013, 0.000380, -0.003773 
-0.002227, 0.000514, -0.004190 
-0.003234, 0.007272, -0.003978 
-0.004225, 0.012326, -0.003833 
-0.005588, 0.012654, 0.001612 
-0.007467, 0.011514, 0.000859 
-0.005564, 0.012727, -0.005081 
-0.004765, 0.014052, -0.004414 
-0.005751, 0.014831, -0.003994 
-0.005000, 0.014366, -0.003721 
-0.006700, 0.013077, 0.002155 
-0.003307, 0.013416, -0.003957 
0.002821, 0.014242, -0.004502 
0.005842, 0.015786, -0.004973 
0.006972, 0.016714, -0.006395 
0.002045, 0.015223, -0.003377 
0.000852, 0.013365, -0.003401 
-0.001837, 0.013094, -0.003368 
-0.002156, 0.013341, -0.003326 
-0.002648, 0.013486, -0.003133 
-0.003131, 0.012483, -0.002993 
-0.003726, 0.012939, -0.002800 
-0.002909, 0.012161, -0.002631 
-0.004074, 0.012287, -0.002611 
-0.003491, 0.013163, -0.002410 
-0.004433, 0.012993, -0.002416 
-0.004831, 0.013426, -0.002405 
-0.005136, 0.013412, -0.002439 
-0.005149, 0.012614, -0.002361 
-0.001756, 0.013995, -0.002553 
0.002476, 0.015012, -0.003865 
0.005355, 0.015194, -0.004580 
0.003634, 0.015343, -0.006770 
-0.001169, 0.014083, -0.001422 
-0.002641, 0.013061, -0.001641 
-0.004460, 0.013511, -0.001766 
-0.005332, 0.014884, -0.001651 
-0.005710, 0.014406, -0.001900 
-0.006138, 0.014192, -0.001980 
-0.005074, 0.013075, -0.001942 
-0.005419, 0.013304, -0.001984 
-0.005180, 0.012794, -0.001954 
-0.005451, 0.012535, -0.001916 
-0.006055, 0.013234, -0.001849 
-0.005995, 0.013017, -0.001704 
-0.005754, 0.013864, -0.001421 
-0.005956, 0.013339, -0.001491 
-0.007590, 0.013088, -0.001701 
-0.005840, 0.012902, -0.001793 
-0.000317, 0.014966, -0.002482 
0.004156, 0.016119, -0.004118 
0.005390, 0.016704, -0.006003 
0.002518, 0.015894, -0.007338 
-0.002962, 0.014219, -0.001090 
-0.004545, 0.014262, -0.001205 
-0.004985, 0.013035, -0.001463 
-0.005471, 0.012817, -0.001682 
-0.005595, 0.013143, -0.001775 
-0.005958, 0.013338, -0.001843 
-0.005973, 0.013432, -0.001769 
-0.005596, 0.012771, -0.001810 
-0.005830, 0.012788, -0.001873 
-0.005420, 0.013172, -0.001894 
-0.005040, 0.013536, -0.001571 
-0.005668, 0.013786, -0.001688 
-0.005855, 0.012764, -0.001559 
-0.005829, 0.012806, -0.001446 
0.000781, 0.014422, -0.007175 
0.006399, 0.015364, -0.007888 
0.009157, 0.016915, -0.008439 
0.005732, 0.016333, -0.004472 
0.001944, 0.015372, -0.005026 
0.000077, 0.014406, -0.004731 
-0.001784, 0.014572, -0.004667 
-0.002844, 0.014412, -0.004538 
-0.003403, 0.014264, -0.004265 
-0.003085, 0.014232, -0.003901 
-0.003910, 0.015327, -0.003686 
-0.004692, 0.015125, -0.003618 
-0.004946, 0.014919, -0.003644 
-0.004799, 0.014106, -0.003587 
-0.004833, 0.014288, -0.003548 
-0.004369, 0.013407, -0.003418 
-0.004457, 0.012544, -0.003479 
-0.004415, 0.012807, -0.003232 
-0.002309, 0.012243, -0.003136 
0.003449, 0.013762, -0.003487 
0.006282, 0.015145, -0.005304 
0.006548, 0.016476, -0.006509 
0.001727, 0.014846, -0.002582 
-0.000829, 0.014065, -0.002831 
-0.002566, 0.014222, -0.003001 
-0.004262, 0.014341, -0.002993 
-0.004463, 0.014045, -0.002958 
-0.004596, 0.014233, -0.003061 
-0.004589, 0.014851, -0.002881 
-0.004344, 0.013957, -0.002920 
-0.004426, 0.013389, -0.002988 
-0.003908, 0.013299, -0.002902 
-0.003806, 0.012996, -0.002839 
-0.002146, 0.013760, -0.008537 
-0.003292, 0.013258, -0.002001 
-0.004023, 0.013495, -0.002086 
-0.005232, 0.013578, -0.002471 
0.000540, 0.014290, -0.002739 
0.004499, 0.017023, -0.004124 
0.006961, 0.017157, -0.004955 
0.005435, 0.016081, -0.007042 
0.001109, 0.014427, -0.001841 
-0.001601, 0.014327, -0.002277 
-0.003138, 0.014258, -0.002645 
-0.003228, 0.013511, -0.002585 
-0.004405, 0.014396, -0.002576 
-0.004853, 0.013749, -0.002781 
-0.004669, 0.013637, -0.002837 
-0.004565, 0.013299, -0.002896 
-0.004638, 0.013493, -0.003089 
-0.004852, 0.013690, -0.003210 
-0.004560, 0.013324, -0.003250 
-0.005134, 0.014104, -0.003508 
-0.003545, 0.014041, -0.003466 
0.003048, 0.015487, -0.004031 
0.007732, 0.016211, -0.005787 
0.008795, 0.016979, -0.007502 
0.006578, 0.016161, -0.009751 
0.003876, 0.014250, -0.003483 
0.001763, 0.013667, -0.003581 
0.000341, 0.013529, -0.003682 
-0.001130, 0.013884, -0.003911 
-0.001439, 0.013949, -0.003903 
-0.001642, 0.014498, -0.003916 
-0.001619, 0.015061, -0.003900 
-0.002381, 0.014884, -0.003936 
-0.001920, 0.014840, -0.003934 
-0.002516, 0.014804, -0.003903 
-0.003244, 0.014837, -0.004023 
-0.002801, 0.014099, -0.004005 
-0.002624, 0.014039, -0.003939 
-0.002699, 0.013870, -0.004029 
0.002247, 0.014329, -0.004300 
0.008192, 0.016273, -0.005394 
0.011291, 0.017517, -0.006891 
0.008293, 0.017278, -0.003789 
0.004397, 0.016233, -0.004521 
0.002380, 0.015784, -0.004487 
0.001092, 0.014788, -0.004480 
