x(m), y(m), heading(rad)  
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
-0.000989, 0.004232, -0.000108 
-0.001026, 0.004387, -0.000112 
-0.001067, 0.004564, -0.000116 
-0.001108, 0.004741, -0.000121 
-0.001150, 0.004917, -0.000125 
-0.001191, 0.005095, -0.000130 
-0.001233, 0.005273, -0.000135 
-0.001274, 0.005451, -0.000139 
-0.001317, 0.005636, -0.000144 
-0.001357, 0.005804, -0.000148 
-0.001398, 0.005978, -0.000153 
-0.001439, 0.006155, -0.000157 
-0.001480, 0.006332, -0.000162 
-0.001522, 0.006511, -0.000166 
-0.001563, 0.006686, -0.000171 
-0.001614, 0.006904, -0.000176 
-0.001646, 0.007042, -0.000180 
-0.001687, 0.007216, -0.000184 
-0.001728, 0.007392, -0.000189 
-0.001770, 0.007570, -0.000193 
-0.001181, 0.007158, 0.000012 
-0.001196, 0.007310, 0.000017 
-0.001210, 0.007462, 0.000021 
-0.001225, 0.007614, 0.000025 
-0.001240, 0.007768, 0.000030 
-0.001254, 0.007919, 0.000034 
-0.001269, 0.008071, 0.000039 
-0.001284, 0.008223, 0.000043 
-0.001298, 0.008375, 0.000047 
-0.001313, 0.008526, 0.000052 
-0.001328, 0.008677, 0.000056 
-0.001342, 0.008832, 0.000060 
-0.001357, 0.008984, 0.000065 
-0.001372, 0.009135, 0.000069 
-0.001386, 0.009287, 0.000074 
-0.001401, 0.009441, 0.000078 
-0.001416, 0.009590, 0.000082 
-0.001430, 0.009743, 0.000087 
-0.001445, 0.009895, 0.000091 
-0.001460, 0.010045, 0.000095 
-0.001474, 0.010198, 0.000100 
-0.001936, 0.007945, -0.000073 
-0.001961, 0.007986, -0.000075 
-0.001994, 0.008039, -0.000078 
-0.002027, 0.008093, -0.000081 
-0.002060, 0.008146, -0.000084 
-0.002092, 0.008199, -0.000087 
-0.002125, 0.008252, -0.000090 
-0.002157, 0.008305, -0.000092 
-0.002190, 0.008358, -0.000095 
-0.002223, 0.008412, -0.000098 
-0.002256, 0.008465, -0.000101 
-0.002288, 0.008518, -0.000104 
-0.002321, 0.008571, -0.000107 
-0.002353, 0.008624, -0.000109 
-0.002386, 0.008677, -0.000112 
