x(m), y(m), heading(rad)  
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
-0.001694, -0.000310, 0.010979 
-0.001733, -0.000317, 0.011229 
-0.001801, -0.000330, 0.011671 
-0.001870, -0.000342, 0.012113 
-0.001938, -0.000355, 0.012557 
-0.002006, -0.000367, 0.013000 
-0.002075, -0.000380, 0.013444 
-0.002143, -0.000392, 0.013887 
-0.002212, -0.000405, 0.014332 
-0.002280, -0.000417, 0.014774 
-0.002349, -0.000430, 0.015217 
-0.002417, -0.000442, 0.015661 
-0.002485, -0.000455, 0.016104 
-0.002554, -0.000467, 0.016547 
-0.002622, -0.000480, 0.016990 
-0.002691, -0.000492, 0.017434 
-0.002759, -0.000505, 0.017878 
-0.002828, -0.000517, 0.018322 
-0.002896, -0.000530, 0.018765 
-0.003434, -0.001338, 0.008582 
-0.003450, -0.001346, 0.008579 
-0.003537, -0.001392, 0.008564 
-0.003622, -0.001437, 0.008549 
-0.003708, -0.001483, 0.008533 
-0.003794, -0.001528, 0.008518 
-0.003880, -0.001574, 0.008503 
-0.003965, -0.001618, 0.008488 
-0.004051, -0.001664, 0.008473 
-0.004137, -0.001709, 0.008458 
-0.004223, -0.001754, 0.008443 
-0.004308, -0.001800, 0.008427 
-0.004394, -0.001845, 0.008412 
-0.004480, -0.001890, 0.008397 
-0.004566, -0.001936, 0.008382 
-0.004651, -0.001981, 0.008367 
-0.004737, -0.002026, 0.008352 
-0.004823, -0.002071, 0.008337 
-0.004909, -0.002117, 0.008321 
-0.004994, -0.002162, 0.008306 
-0.005079, -0.002207, 0.008291 
-0.004434, -0.003401, 0.008333 
-0.004459, -0.003443, 0.008327 
-0.004513, -0.003534, 0.008315 
-0.004567, -0.003625, 0.008302 
-0.004621, -0.003717, 0.008290 
-0.004675, -0.003808, 0.008277 
-0.004729, -0.003899, 0.008265 
-0.004783, -0.003990, 0.008252 
-0.004837, -0.004082, 0.008240 
-0.004891, -0.004173, 0.008227 
-0.004945, -0.004264, 0.008215 
-0.004998, -0.004355, 0.008202 
-0.005053, -0.004446, 0.008190 
-0.005106, -0.004537, 0.008177 
-0.005161, -0.004629, 0.008165 
-0.005214, -0.004719, 0.008152 
