x(m), y(m), heading(rad)  
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
-0.002763, -0.000392, -0.000188 
-0.002876, -0.000408, -0.000196 
-0.002992, -0.000425, -0.000204 
-0.003109, -0.000442, -0.000212 
-0.003226, -0.000458, -0.000220 
-0.003343, -0.000475, -0.000228 
-0.003459, -0.000491, -0.000236 
-0.003576, -0.000508, -0.000244 
-0.003693, -0.000524, -0.000252 
-0.003810, -0.000541, -0.000260 
-0.003926, -0.000558, -0.000268 
-0.004043, -0.000574, -0.000276 
-0.004160, -0.000591, -0.000284 
-0.004276, -0.000607, -0.000292 
-0.004393, -0.000624, -0.000300 
-0.004509, -0.000640, -0.000308 
-0.004627, -0.000657, -0.000316 
-0.004743, -0.000674, -0.000324 
-0.004859, -0.000690, -0.000331 
-0.004977, -0.000707, -0.000339 
-0.008715, 0.001015, -0.000352 
-0.008980, 0.001071, -0.000360 
-0.009251, 0.001129, -0.000368 
-0.009524, 0.001187, -0.000376 
-0.009795, 0.001244, -0.000384 
-0.010064, 0.001301, -0.000392 
-0.010335, 0.001359, -0.000400 
-0.010606, 0.001416, -0.000409 
-0.010877, 0.001474, -0.000417 
-0.011148, 0.001531, -0.000425 
-0.011418, 0.001589, -0.000433 
-0.011689, 0.001646, -0.000441 
-0.011960, 0.001704, -0.000449 
-0.012233, 0.001761, -0.000457 
-0.012503, 0.001819, -0.000466 
-0.012774, 0.001876, -0.000474 
-0.013045, 0.001934, -0.000482 
-0.013315, 0.001991, -0.000490 
-0.013586, 0.002049, -0.000498 
-0.013856, 0.002106, -0.000506 
-0.014128, 0.002163, -0.000514 
-0.014399, 0.002221, -0.000523 
-0.016093, 0.002739, 0.022203 
-0.016421, 0.002815, 0.023096 
-0.016748, 0.002890, 0.023986 
-0.017076, 0.002966, 0.024878 
-0.017404, 0.003042, 0.025771 
-0.017732, 0.003118, 0.026665 
-0.018057, 0.003193, 0.027551 
-0.018385, 0.003269, 0.028442 
-0.018711, 0.003344, 0.029330 
-0.019039, 0.003420, 0.030223 
-0.019365, 0.003496, 0.031112 
-0.019692, 0.003571, 0.032002 
-0.020023, 0.003648, 0.032901 
-0.020348, 0.003723, 0.033786 
