x(m), y(m), heading(rad)  
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
-0.002578, 0.005639, -0.000384 
-0.002579, 0.005641, -0.000384 
-0.002586, 0.005656, -0.000385 
-0.002647, 0.005791, -0.000394 
-0.002709, 0.005925, -0.000403 
-0.002771, 0.006060, -0.000413 
-0.002832, 0.006194, -0.000422 
-0.002893, 0.006329, -0.000431 
-0.002954, 0.006462, -0.000440 
-0.003016, 0.006597, -0.000449 
-0.003077, 0.006730, -0.000458 
-0.003139, 0.006865, -0.000467 
-0.003200, 0.006999, -0.000476 
-0.003262, 0.007134, -0.000486 
-0.003323, 0.007269, -0.000495 
-0.003384, 0.007402, -0.000504 
-0.003445, 0.007536, -0.000513 
-0.003507, 0.007670, -0.000522 
-0.003568, 0.007804, -0.000531 
-0.003630, 0.007940, -0.000540 
-0.003344, 0.010314, -0.000699 
-0.003346, 0.010321, -0.000699 
-0.003353, 0.010349, -0.000701 
-0.003404, 0.010531, -0.000714 
-0.003454, 0.010712, -0.000726 
-0.003506, 0.010899, -0.000739 
-0.003556, 0.011078, -0.000751 
-0.003607, 0.011262, -0.000763 
-0.003656, 0.011441, -0.000775 
-0.003707, 0.011623, -0.000788 
-0.003757, 0.011803, -0.000800 
-0.003808, 0.011985, -0.000812 
-0.003858, 0.012167, -0.000824 
-0.003909, 0.012350, -0.000837 
-0.003959, 0.012532, -0.000849 
-0.004010, 0.012714, -0.000861 
-0.004060, 0.012893, -0.000873 
-0.004117, 0.013100, -0.000888 
-0.004161, 0.013258, -0.000898 
-0.004211, 0.013438, -0.000910 
-0.004262, 0.013622, -0.000923 
-0.004108, 0.010411, 0.000227 
-0.004109, 0.010413, 0.000228 
-0.004129, 0.010457, 0.000235 
-0.004173, 0.010553, 0.000250 
-0.004218, 0.010650, 0.000265 
-0.004262, 0.010747, 0.000281 
-0.004306, 0.010843, 0.000296 
-0.004351, 0.010941, 0.000312 
-0.004393, 0.011035, 0.000327 
-0.004437, 0.011131, 0.000342 
-0.004481, 0.011227, 0.000357 
-0.004525, 0.011324, 0.000372 
-0.004569, 0.011420, 0.000388 
-0.004613, 0.011516, 0.000403 
-0.004657, 0.011612, 0.000418 
-0.004701, 0.011708, 0.000433 
-0.004744, 0.011803, 0.000449 
-0.004789, 0.011901, 0.000464 
-0.004833, 0.011997, 0.000479 
-0.004877, 0.012093, 0.000495 
