x(m), y(m), heading(rad)  
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
-0.000097, -0.000696, -0.000235 
-0.000101, -0.000726, -0.000245 
-0.000105, -0.000756, -0.000255 
-0.000109, -0.000785, -0.000265 
-0.000113, -0.000815, -0.000276 
-0.000117, -0.000845, -0.000285 
-0.000121, -0.000874, -0.000295 
-0.000125, -0.000904, -0.000306 
-0.000129, -0.000934, -0.000316 
-0.000134, -0.000963, -0.000326 
-0.000138, -0.000993, -0.000336 
-0.000142, -0.001023, -0.000346 
-0.000146, -0.001052, -0.000356 
-0.000150, -0.001082, -0.000366 
-0.000154, -0.001112, -0.000376 
-0.000158, -0.001142, -0.000386 
-0.000162, -0.001171, -0.000396 
-0.000166, -0.001201, -0.000406 
-0.000171, -0.001230, -0.000416 
-0.000175, -0.001260, -0.000426 
-0.000366, -0.000602, -0.000666 
-0.000378, -0.000603, -0.000686 
-0.000390, -0.000603, -0.000706 
-0.000402, -0.000603, -0.000726 
-0.000414, -0.000603, -0.000746 
-0.000426, -0.000603, -0.000766 
-0.000439, -0.000604, -0.000786 
-0.000451, -0.000604, -0.000806 
-0.000463, -0.000604, -0.000826 
-0.000475, -0.000604, -0.000846 
-0.000487, -0.000604, -0.000865 
-0.000499, -0.000605, -0.000885 
-0.000511, -0.000605, -0.000905 
-0.000524, -0.000605, -0.000926 
-0.000536, -0.000605, -0.000945 
-0.000548, -0.000606, -0.000965 
-0.000560, -0.000606, -0.000985 
-0.000572, -0.000606, -0.001005 
-0.000584, -0.000606, -0.001025 
-0.000596, -0.000606, -0.001045 
-0.000746, -0.001848, -0.001152 
-0.000763, -0.001898, -0.001174 
-0.000781, -0.001952, -0.001198 
-0.000799, -0.002006, -0.001222 
-0.000817, -0.002059, -0.001245 
-0.000835, -0.002113, -0.001269 
-0.000853, -0.002166, -0.001292 
-0.000872, -0.002220, -0.001316 
-0.000890, -0.002274, -0.001340 
-0.000908, -0.002327, -0.001363 
-0.000926, -0.002381, -0.001387 
-0.000944, -0.002435, -0.001411 
-0.000962, -0.002488, -0.001434 
-0.000980, -0.002542, -0.001458 
-0.000998, -0.002595, -0.001481 
-0.001016, -0.002650, -0.001505 
