x(m), y(m), heading(rad)  
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
-0.007522, 0.000077, 0.000010 
-0.007765, 0.000079, 0.000010 
-0.008064, 0.000082, 0.000010 
-0.008363, 0.000085, 0.000011 
-0.008660, 0.000088, 0.000011 
-0.008958, 0.000091, 0.000012 
-0.009254, 0.000094, 0.000012 
-0.009556, 0.000097, 0.000012 
-0.009851, 0.000100, 0.000013 
-0.010150, 0.000103, 0.000013 
-0.010447, 0.000106, 0.000013 
-0.010745, 0.000109, 0.000014 
-0.011042, 0.000112, 0.000014 
-0.011341, 0.000115, 0.000015 
-0.011639, 0.000118, 0.000015 
-0.011938, 0.000122, 0.000015 
-0.012235, 0.000125, 0.000016 
-0.012532, 0.000128, 0.000016 
-0.012830, 0.000131, 0.000017 
-0.013132, 0.000134, 0.000017 
-0.023997, 0.002644, 0.000158 
-0.024724, 0.002748, 0.000164 
-0.025447, 0.002852, 0.000170 
-0.026167, 0.002955, 0.000176 
-0.026890, 0.003059, 0.000182 
-0.027614, 0.003163, 0.000188 
-0.028338, 0.003267, 0.000194 
-0.029058, 0.003370, 0.000200 
-0.029780, 0.003474, 0.000206 
-0.030503, 0.003578, 0.000212 
-0.031226, 0.003682, 0.000218 
-0.031952, 0.003786, 0.000225 
-0.032673, 0.003889, 0.000231 
-0.033397, 0.003993, 0.000237 
-0.034125, 0.004098, 0.000243 
-0.034843, 0.004201, 0.000249 
-0.035561, 0.004304, 0.000255 
-0.036283, 0.004408, 0.000261 
-0.037019, 0.004513, 0.000267 
-0.044392, 0.002648, 0.000192 
-0.045391, 0.002668, 0.000195 
-0.046393, 0.002689, 0.000197 
-0.047397, 0.002710, 0.000200 
-0.048403, 0.002731, 0.000202 
-0.049409, 0.002752, 0.000205 
-0.050407, 0.002772, 0.000208 
-0.051417, 0.002793, 0.000210 
-0.052417, 0.002814, 0.000213 
-0.053424, 0.002835, 0.000216 
-0.054427, 0.002855, 0.000218 
-0.055426, 0.002876, 0.000221 
-0.056435, 0.002897, 0.000223 
-0.057439, 0.002918, 0.000226 
-0.058442, 0.002939, 0.000229 
-0.059439, 0.002959, 0.000231 
